简码：一	y
组字：㚡	两个奇
组字：㝇	两个享
组字：㠭	四个工
组字：㣈	两个㣇
组字：㯤	两个來
组字：㯥	两个東
组字：㱛	两个歹
组字：㲎	两个毛
组字：㵘	四个水
组字：㸚	四个乂
组字：㸞	两个片
组字：㹜	两个犬
组字：㼌	两个瓜
组字：㽓	三个生
组字：㽬	两个畐
组字：㿟	两个白
组字：䀠	两个目
组字：䆐	三个秦
组字：䎜	两个老
组字：䖃	三个若
组字：䖵	两个虫
组字：䡛	两个車
组字：䣈	两个邑
组字：䨇	两个隻
组字：䨺	三个雲
组字：䨻	四个雷
组字：䪭	两个音
组字：䬕	两个風
组字：䲆	两个魚
组字：䲜	四个魚
组字：二	两个一
组字：亖	两个二
组字：从	两个人
组字：众	三个人
组字：兓	两个旡
组字：兟	两个先
组字：刕	三个刀
组字：劦	三个力
组字：卉	三个十
组字：卌	两个卄
组字：厵	三个原
组字：厸	两个厶
组字：厽	三个厶
组字：双	两个又
组字：叒	三个又
组字：叕	四个又
组字：吕	两个口
组字：品	三个口
组字：喆	两个吉
组字：嚞	三个吉
组字：囍	两个喜
组字：圭	两个土
组字：垚	三个土
组字：壵	三个士
组字：多	两个夕
组字：夶	两个大
组字：奻	两个女
组字：姦	三个女
组字：孖	两个子
组字：孨	三个子
组字：尛	三个小
组字：岀	两个山
组字：巛	三个𡿨
组字：幵	两个干
组字：弜	两个弓
组字：彡	三个丿
组字：惢	三个心
组字：戔	两个戈
组字：掱	三个手
组字：斦	两个斤
组字：昌	两个曰
组字：昍	两个日
组字：晶	三个日
组字：朋	两个月
组字：朤	四个月
组字：林	两个木
组字：棘	两个朿
组字：森	三个木
组字：槑	两个呆
组字：歮	三个止
组字：比	两个匕
组字：毳	三个毛
组字：沝	两个水
组字：淼	三个水
组字：灥	三个泉
组字：炎	两个火
组字：焱	三个火
组字：燚	两个炎
组字：燚	四个火
组字：爻	两个乂
组字：牪	两个牛
组字：犇	三个牛
组字：猋	三个犬
组字：玆	两个玄
组字：玨	两个王
组字：甡	两个生
组字：畕	两个田
组字：畾	三个田
组字：皕	两个百
组字：皛	三个白
组字：瞐	三个目
组字：矗	三个直
组字：砳	两个石
组字：磊	三个石
组字：祘	两个示
组字：秝	两个禾
组字：竝	两个立
组字：競	两个竞
组字：竸	两个竟
组字：羴	三个羊
组字：羽	两个习
组字：聑	两个耳
组字：聶	三个耳
组字：臸	两个至
组字：舙	三个舌
组字：艸	两个屮
组字：芔	三个屮
组字：茻	四个屮
组字：虤	两个虎
组字：蟲	三个虫
组字：覞	两个見
组字：誩	两个言
组字：譶	三个言
组字：豩	两个豕
组字：賏	两个貝
组字：赑	三个贝
组字：踀	两个足
组字：轟	三个車
组字：辡	两个辛
组字：鍂	两个金
组字：鑫	三个金
组字：雔	两个隹
组字：雥	三个隹
组字：靐	三个雷
组字：飍	三个風
组字：飝	三个飛
组字：馫	三个香
组字：騳	两个馬
组字：骉	三个马
组字：鱻	三个魚
组字：麤	三个鹿
组字：龖	两个龍
组字：龘	三个龍
组字：𠀘	两个兀
组字：𠁠	四个且
组字：𠁭	三个个
组字：𠁷	两个串
组字：𠁼	三个丶
组字：𠃄	两个𠂢
组字：𠃐	两个乙
组字：𠃙	两个九
组字：𠃧	两个飞
组字：𠄕	三个了
组字：𠅯	两个亦
组字：𠈌	四个人
组字：𠌕	三个介
组字：𠎳	两个余
组字：𠐇	两个来
组字：𠐰	三个企
组字：𠑐	两个倉
组字：𠑰	三个舍
组字：𠑲	两个僉
组字：𠒶	三个圥
组字：𠓉	三个光
组字：𠓗	三个兔
组字：𠓙	四个先
组字：𠓜	两个入
组字：𠓾	三个全
组字：𠔁	两个八
组字：𠔻	四个興
组字：𠘬	两个几
组字：𠘻	两个凡
组字：𠚛	三个𠙽
组字：𠠴	两个力
组字：𠣪	两个句
组字：𠥺	两个區
组字：𠦜	两个廿
组字：𠨋	三个𠧪
组字：𠨎	两个㔾
组字：𠨕	三个㔾
组字：𠨖	两个卪
组字：𠫒	三个厡
组字：𠫬	四个厶
组字：𠬑	三个去
组字：𠳬	两个古
组字：𠾳	三个可
组字：𡆃	两个善
组字：𡈲	三个因
组字：𡈶	四个囚
组字：𡈹	四个困
组字：𡖃	三个夏
组字：𡘙	三个大
组字：𡙎	三个天
组字：𡙒	三个太
组字：𡚌	四个天
组字：𡚤	三个𦉼
组字：𡦪	两个𡥦
组字：𡬏	三个宝
组字：𡬐	三个宜
组字：𡬚	三个客
组字：𡬜	三个寒
组字：𡮏	三个少
组字：𡮐	四个小
组字：𡰲	两个尸
组字：𡱉	两个尹
组字：𡷈	三个山
组字：𡿭	两个巛
组字：𢀌	两个巢
组字：𢀡	两个左
组字：𢁝	两个巾
组字：𢂏	两个巿
组字：𢅈	三个市
组字：𢆶	两个幺
组字：𢌽	两个卅
组字：𢎙	两个𢎘
组字：𢏝	三个弓
组字：𢑑	两个彐
组字：𢗰	两个心
组字：𢨯	两个户
组字：𢩕	三个户
组字：𢩙	两个启
组字：𢪒	两个手
组字：𢺸	两个支
组字：𣁕	三个文
组字：𣁾	三个斗
组字：𣊣	两个昔
组字：𣊧	两个明
组字：𣊫	两个昌
组字：𣊫	四个日
组字：𣊭	四个曰
组字：𣊷	两个易
组字：𣌠	四个春
组字：𣗥	两个束
组字：𣛕	两个果
组字：𣝯	三个朿
组字：𣠆	三个束
组字：𣠬	两个桼
组字：𣡍	四个朿
组字：𣡕	三个林
组字：𣡗	三个果
组字：𣡽	四个林
组字：𣡾	四个果
组字：𣢐	两个欠
组字：𣣓	三个欠
组字：𣥖	两个止
组字：𣦴	三个𣥚
组字：𣫯	两个母
组字：𣬅	两个比
组字：𣬅	四个匕
组字：𣴏	两个永
组字：𤆁	四个泉
组字：𤔙	三个爪
组字：𤕇	三个妥
组字：𤘆	两个牙
组字：𤚅	两个牟
组字：𤛭	四个牛
组字：𤬑	三个瓜
组字：𤰌	三个用
组字：𤱓	两个申
组字：𤲶	两个男
组字：𤳅	三个甲
组字：𤳳	四个田
组字：𤳵	四个甲
组字：𤾩	三个百
组字：𥃣	三个盖
组字：𥍙	三个県
组字：𥗉	四个石
组字：𥝉	两个禺
组字：𥡝	两个秉
组字：𥩌	三个空
组字：𥫮	三个亇
组字：𥴒	三个竹
组字：𥷹	四个竹
组字：𥹫	两个米
组字：𥼬	三个米
组字：𦋹	三个罒
组字：𦏱	三个羗
组字：𦓈	三个老
组字：𦓋	四个老
组字：𦓔	两个而
组字：𦜳	三个月
组字：𦣦	两个臣
组字：𦥏	三个至
组字：𦧅	三个興
组字：𦧚	两个舌
组字：𧔗	三个䖝
组字：𧮦	四个言
组字：𧼂	两个走
组字：𨆬	三个足
组字：𨏿	四个車
组字：𨑂	三个㖖
组字：𨰻	四个金
组字：𨷮	三个門
组字：𨷾	四个門
组字：𨽼	两个隶
组字：𩇔	四个雲
组字：𩈳	两个面
组字：𩉖	三个面
组字：𩖏	三个頁
组字：𩙡	四个風
组字：𩡐	两个香
组字：𩥋	两个马
组字：𪅝	两个鸟
组字：𪈼	三个鳥
组字：𪉓	三个鸟
组字：𪙹	两个齒
组字：𪚥	四个龍
组字：𪟧	三个男
组字：𫁪	三个立
组字：𫅓	两个羊
组字：𫠭	两个不
组字：𫡤	三个九
组字：𫡩	三个也
组字：𫦹	三个加
组字：𫦿	三个動
组字：𫧢	三个千
组字：𬀉	三个方
组字：𬂚	三个朔
组字：𬍼	三个玉
组字：𬏍	三个申
组字：𬼆	两个㐅
组字：𬼠	两个乞
组字：𭐪	两个夋
组字：𭑈	两个天
组字：𮊂	两个罒
组字：𱍂	两个龙
货币：￥	人民币
偏旁：宀	宝盖儿头
偏旁：纟	乱绞丝儿
偏旁：纟	绞丝儿旁
符号：<	小于
符号：>	大于
符号：±	正负
符号：²	平方
符号：³	立方
符号：√	根号
符号：≈	约等
符号：吋	英寸
货币：HK$	港元
货币：HK$	港币
符号：%	百分之
符号：%	百分号
符号：1	百分百
符号：`	反引号
符号：±	正负号
符号：²	两次方
符号：²	二次方
符号：³	三次方
符号：·	间隔号
符号：¹	一次方
符号：¿	反问号
符号：π	圆周率
符号：—	连接号
符号：—	连接符
符号：‰	千分之
符号：‰	千分号
符号：‱	万分之
符号：‱	万分号
符号：⁴	四次方
符号：⁵	五次方
符号：⁶	六次方
符号：⁷	七次方
符号：⁸	八次方
符号：⁹	九次方
符号：℃	摄氏度
符号：℉	华氏度
符号：∞	无穷大
符号：≈	约等于
符号：≈	约等号
符号：≠	不等于
符号：≠	不等号
符号：≤	小于号
符号：≥	大于号
符号：－	连字符
符号：cm²	平方厘米
符号：cm³	立方厘米
符号：dm²	平方分米
符号：dm³	立方分米
时间：Apr.	四月份
时间：Aug.	八月份
时间：Dec.	十二月
时间：Feb.	二月份
时间：Fri.	星期五
时间：Fri.	礼拜五
时间：Jan.	一月份
时间：July.	七月
时间：June.	六月
时间：Mar.	三月份
时间：May.	五月份
时间：Mon.	星期一
时间：Mon.	礼拜一
时间：Nov.	十一月
时间：Oct.	十月份
时间：Sat.	星期六
时间：Sat.	礼拜六
时间：Sep.	九月份
时间：Sun.	星期日
时间：Sun.	礼拜日
时间：Thu.	星期四
时间：Thu.	礼拜四
时间：Tue.	星期二
时间：Tue.	礼拜二
时间：Wed.	星期三
时间：Wed.	礼拜三
时间：Dec.	十二月份
时间：July.	七月份
时间：June.	六月份
时间：Nov.	十一月份
翻译：将官；集合；配置	marshal
表情：←	左
表情：↑	上
表情：→	右
表情：↓	下
表情：♀	女
表情：♂	男
表情：⚓	锚
表情：✋	手
表情：✔	对
表情：❎	叉
表情：❎	错
表情：➕	加
表情：➖	减
表情：➗	除
表情：™	TM
表情：🅰️	A
表情：🅱️	B
表情：🆎	AB
表情：🆔	ID
表情：🆖	NG
表情：🆗	OK
表情：🆙	up
表情：💿	CD
表情：📺	TV
表情：🔛	on
表情：😄	ha
表情：😲	aa
表情：🚾	WC
表情：🆕	new
表情：🆘	SOS
表情：🏧	ATM
表情：🐛	bug
表情：💤	ZZZ
表情：📀	DVD
表情：🔚	end
表情：🔝	top
表情：🔤	abc
表情：😦	aaa
表情：🚙	SUV
表情：🛸	UFO
表情：🧬	DNA
表情：🆒	cool
表情：🆓	free
表情：🐶	Doge
表情：🐸	qkwa
表情：🐸	qywa
表情：💋	kiss
表情：💣	boom
表情：🔗	link
表情：🔙	back
表情：🔜	soon
表情：🔠	ABCD
表情：🔡	abcd
表情：😄	haha
表情：😧	aaaa
表情：🚼	baby
表情：🛜	WiFi
表情：🤬	NMSL
表情：ℹ️	info
表情：♥️	love
表情：⚛️	atom
表情：🃏	joker
表情：🆑	clear
表情：🐼	panda
表情：💢	angry
表情：💰	money
表情：📧	email
表情：🥳	party
表情：☁️	cloud
表情：☮️	peace
表情：⚔️	fight
表情：🍪	cookie
表情：🎬	action
表情：🐍	Python
表情：🚀	rocket
表情：🍪	cookies
表情：🫡	respect
表情：🅿️	parking
表情：🛜	wireless
表情：©	Copyright
表情：®	Registered
表情：ℹ️	information
表情：🫢	unbelievable
表情：🀄	中
表情：🆒	酷
表情：🆕	新
表情：🆙	顶
表情：🆚	比
表情：🈯	指
表情：🈲	禁
表情：🈳	空
表情：🈴	合
表情：🈵	满
表情：🈶	有
表情：🈸	申
表情：🈹	割
表情：🈺	营
表情：🉐	得
表情：🉑	可
表情：🌊	浪
表情：🌧	雨
表情：🌫	雾
表情：🌫	霾
表情：🌳	树
表情：🌷	花
表情：🍐	梨
表情：🍑	桃
表情：🍬	糖
表情：🍵	茶
表情：🍷	酒
表情：🏠	家
表情：🐆	豹
表情：🐉	龙
表情：🐍	蛇
表情：🐎	马
表情：🐑	羊
表情：🐒	猴
表情：🐔	鸡
表情：🐕	犬
表情：🐕	狗
表情：🐖	猪
表情：🐟	鱼
表情：🐢	龟
表情：🐦	鸟
表情：🐭	鼠
表情：🐮	牛
表情：🐯	虎
表情：🐰	兔
表情：🐱	喵
表情：🐱	猫
表情：🐸	蛤
表情：🐺	狼
表情：🐻	熊
表情：👀	看
表情：👁	眼
表情：👂	听
表情：👂	耳
表情：👃	嗅
表情：👃	闻
表情：👃	鼻
表情：👄	口
表情：👄	唇
表情：👄	嘴
表情：👅	舌
表情：👍	强
表情：👍	棒
表情：👍	赞
表情：👻	鬼
表情：💋	亲
表情：💋	吻
表情：💡	灯
表情：💢	怒
表情：💩	屎
表情：💰	钱
表情：📄	纸
表情：📚	书
表情：🔓	锁
表情：🔟	十
表情：🔥	火
表情：🔪	刀
表情：🕳	坑
表情：🕳	洞
表情：😄	哈
表情：😊	笑
表情：😓	汗
表情：😤	哼
表情：😧	啊
表情：😭	哭
表情：😮	哦
表情：😱	怕
表情：🚗	车
表情：🚢	船
表情：🚪	门
表情：🚬	烟
表情：🛏	床
表情：🤔	呃
表情：🤫	嘘
表情：🤮	吐
表情：🥁	鼓
表情：🥚	蛋
表情：🥣	汤
表情：🥣	碗
表情：🥧	派
表情：🥩	肉
表情：🥱	困
表情：🥵	热
表情：🥵	辣
表情：🥶	冷
表情：🦀	蟹
表情：🦁	狮
表情：🦅	鹰
表情：🦆	鸭
表情：🦉	鸮
表情：🦌	鹿
表情：🦐	虾
表情：🦡	獾
表情：🦨	鼬
表情：🦵	腿
表情：🦶	脚
表情：🦶	足
表情：🦶	踢
表情：🦶	踩
表情：🦷	牙
表情：🧂	盐
表情：🧄	蒜
表情：🧊	冰
表情：🧠	脑
表情：🪡	针
表情：🪿	鹅
表情：🫁	肺
表情：🫏	驴
表情：🫓	饼
表情：🫘	豆
表情：🫚	姜
表情：©	版权
表情：®	注册
表情：™	商标
表情：↕	上下
表情：↖	左上
表情：↗	右上
表情：↘	右下
表情：↙	左下
表情：⌚	手表
表情：⌚	时间
表情：⏩	快进
表情：⏪	快退
表情：⏫	快上
表情：⏬	快下
表情：⏰	闹表
表情：⏰	闹钟
表情：⏱	秒表
表情：⏳	沙漏
表情：☀️	日
表情：☁️	云
表情：☔	打伞
表情：☔	撑伞
表情：☔	雨伞
表情：☕	咖啡
表情：♀	女性
表情：♂	男性
表情：♥️	心
表情：♥️	爱
表情：♿	轮椅
表情：⚓	船锚
表情：⚕	蛇杖
表情：⚡	闪电
表情：⚧	变性
表情：⚪	元宵
表情：⚪	围棋
表情：⚪	圆形
表情：⚪	汤圆
表情：⚪	白子
表情：⚪	白棋
表情：⚪	白点
表情：⚪	雪球
表情：⚫	黑子
表情：⚫	黑棋
表情：⚫	黑点
表情：⚽	足球
表情：⚾	棒球
表情：⛄	雪人
表情：⛅	多云
表情：⛅	阴天
表情：⛩	神社
表情：⛪	圣堂
表情：⛪	教堂
表情：⛰️	山
表情：⛲	公园
表情：⛲	喷泉
表情：⛴	渡船
表情：⛴	渡轮
表情：⛴	轮渡
表情：⛵	帆船
表情：⛸	溜冰
表情：⛸	滑冰
表情：⛺	帐篷
表情：⛽	加油
表情：⛽	石油
表情：✅	答对
表情：✊	握拳
表情：✋	击掌
表情：✋	手掌
表情：✌️	耶
表情：✔	勾选
表情：✔	对号
表情：✔	对钩
表情：✔	正确
表情：✖️	乘
表情：✨	星星
表情：✨	闪亮
表情：✨	闪光
表情：✨	闪耀
表情：❄️	雪
表情：❎	叉叉
表情：❎	画叉
表情：❎	答错
表情：❎	错号
表情：❎	错误
表情：❔	问号
表情：❕	叹号
表情：➕	加号
表情：➖	减号
表情：➗	除以
表情：➗	除号
表情：⬛	黑框
表情：⬛	黑色
表情：⬜	方块
表情：⬜	方形
表情：⬜	白框
表情：⬜	白色
表情：⬜	矩形
表情：⭕	圆圈
表情：㊗️	祝
表情：㊙️	秘
表情：🀄	红中
表情：🀄	麻将
表情：🃏	大王
表情：🃏	小王
表情：🃏	扑克
表情：🃏	鬼牌
表情：🆑	清理
表情：🆑	清除
表情：🆒	很酷
表情：🆒	超酷
表情：🆓	免费
表情：🆓	自由
表情：🆔	身份
表情：🆕	全新
表情：🆕	新建
表情：🆕	新的
表情：🆖	重拍
表情：🆘	救命
表情：🆘	救我
表情：🆘	求救
表情：🆙	升级
表情：🆚	对决
表情：🆚	对战
表情：🆚	对抗
表情：🆚	比赛
表情：🈁	这里
表情：🈚️	无
表情：🈲	严禁
表情：🈲	禁止
表情：🈳	空位
表情：🈴	合格
表情：🈵	满了
表情：🈵	满座
表情：🈶	收费
表情：🈶	有料
表情：🈷️	月
表情：🈸	申请
表情：🈹	打折
表情：🈺	营业
表情：🉑	可以
表情：🌀	台风
表情：🌀	旋风
表情：🌀	气旋
表情：🌀	漩涡
表情：🌀	蚊香
表情：🌀	飓风
表情：🌁	雾气
表情：🌁	雾都
表情：🌃	半夜
表情：🌃	夜晚
表情：🌃	晚上
表情：🌃	深夜
表情：🌅	日出
表情：🌅	旭日
表情：🌆	傍晚
表情：🌆	暮色
表情：🌆	黄昏
表情：🌇	夕阳
表情：🌇	日落
表情：🌇	落日
表情：🌈	彩虹
表情：🌉	大桥
表情：🌊	大浪
表情：🌊	波浪
表情：🌊	浪花
表情：🌋	火山
表情：🌌	星空
表情：🌌	银河
表情：🌍	欧洲
表情：🌍	非洲
表情：🌎	美洲
表情：🌏	亚洲
表情：🌏	地球
表情：🌕	月球
表情：🌘	月食
表情：🌘	残月
表情：🌘	眉月
表情：🌙	弯月
表情：🌙	月亮
表情：🌙	月牙
表情：🌚	新月
表情：🌚	朔月
表情：🌝	圆月
表情：🌝	满月
表情：🌞	太阳
表情：🌠	流星
表情：🌠	许愿
表情：🌤	少云
表情：🌧	下雨
表情：🌧	雨云
表情：🌨	雪云
表情：🌩	打雷
表情：🌩	雷云
表情：🌫	雾霾
表情：🌬	吹拂
表情：🌬	吹风
表情：🌭	热狗
表情：🌯	卷饼
表情：🌯	煎饼
表情：🌰	栗子
表情：🌰	榛子
表情：🌱	发芽
表情：🌱	嫩苗
表情：🌱	幼苗
表情：🌲	松树
表情：🌳	大树
表情：🌳	树木
表情：🌴	棕榈
表情：🌶	辣椒
表情：🌸	樱花
表情：🌹	玫瑰
表情：🌺	木槿
表情：🌺	芙蓉
表情：🌼	开花
表情：🌼	花朵
表情：🌼	雏菊
表情：🌽	玉米
表情：🌽	苞米
表情：🌾	水稻
表情：🌾	稻穗
表情：🌿	中药
表情：🌿	草药
表情：🌿	药草
表情：🌿	香草
表情：🍁	枫叶
表情：🍂	落叶
表情：🍃	叶子
表情：🍃	树叶
表情：🍄	蘑菇
表情：🍅	番茄
表情：🍆	茄子
表情：🍇	提子
表情：🍇	葡萄
表情：🍈	甜瓜
表情：🍉	吃瓜
表情：🍉	西瓜
表情：🍊	柑橘
表情：🍊	橘子
表情：🍊	蜜橘
表情：🍋	柠檬
表情：🍌	香蕉
表情：🍍	凤梨
表情：🍍	菠萝
表情：🍏	苹果
表情：🍐	梨子
表情：🍑	仙桃
表情：🍑	桃子
表情：🍒	樱桃
表情：🍓	草莓
表情：🍔	汉堡
表情：🍕	披萨
表情：🍖	吃肉
表情：🍖	排骨
表情：🍗	鸡腿
表情：🍘	米果
表情：🍘	米饼
表情：🍙	饭团
表情：🍚	大米
表情：🍚	米饭
表情：🍛	咖喱
表情：🍜	吃面
表情：🍜	拉面
表情：🍜	碗面
表情：🍜	面条
表情：🍝	意粉
表情：🍝	意面
表情：🍞	面包
表情：🍟	薯条
表情：🍠	地瓜
表情：🍠	甘薯
表情：🍠	番薯
表情：🍠	红薯
表情：🍡	团子
表情：🍢	串串
表情：🍣	寿司
表情：🍤	炸虾
表情：🍥	鱼板
表情：🍥	鱼饼
表情：🍦	甜筒
表情：🍧	冰沙
表情：🍧	刨冰
表情：🍪	曲奇
表情：🍪	饼干
表情：🍬	吃糖
表情：🍬	糖果
表情：🍮	布丁
表情：🍮	甜品
表情：🍮	甜点
表情：🍯	蜂蜜
表情：🍯	蜜罐
表情：🍰	蛋糕
表情：🍱	便当
表情：🍱	快餐
表情：🍱	盒饭
表情：🍲	火锅
表情：🍲	食物
表情：🍳	烹饪
表情：🍳	煎蛋
表情：🍴	刀叉
表情：🍵	喝茶
表情：🍵	泡茶
表情：🍵	茶杯
表情：🍵	茶水
表情：🍶	清酒
表情：🍷	酒杯
表情：🍹	冷饮
表情：🍹	果饮
表情：🍺	啤酒
表情：🍼	喝奶
表情：🍼	奶瓶
表情：🍽	餐具
表情：🍾	香槟
表情：🎁	包装
表情：🎁	礼品
表情：🎁	礼物
表情：🎇	烟花
表情：🎇	焰火
表情：🎇	礼花
表情：🎈	庆典
表情：🎈	气球
表情：🎉	庆祝
表情：🎉	恭喜
表情：🎉	派对
表情：🎉	祝贺
表情：🎋	七夕
表情：🎍	门松
表情：🎐	风铃
表情：🎑	中秋
表情：🎑	观月
表情：🎑	赏月
表情：🎒	书包
表情：🎒	背包
表情：🎒	背囊
表情：🎖	勋章
表情：🎗	丝带
表情：🎚	滑块
表情：🎛	旋钮
表情：🎞	电影
表情：🎞	胶卷
表情：🎞	胶片
表情：🎞	菲林
表情：🎣	渔竿
表情：🎣	钓竿
表情：🎣	钓鱼
表情：🎧	耳机
表情：🎨	画画
表情：🎨	美术
表情：🎨	艺术
表情：🎩	帽子
表情：🎩	礼帽
表情：🎩	高帽
表情：🎪	马戏
表情：🎫	门票
表情：🎬	场记
表情：🎬	打板
表情：🎭	面具
表情：🎮	手柄
表情：🎯	命中
表情：🎯	靶心
表情：🎯	飞镖
表情：🎰	赌场
表情：🎱	台球
表情：🎱	黑八
表情：🎲	色子
表情：🎲	赌博
表情：🎲	骰子
表情：🎶	音乐
表情：🎶	音符
表情：🎸	吉他
表情：🎹	琴键
表情：🎹	钢琴
表情：🎺	小号
表情：🎻	提琴
表情：🎼	乐谱
表情：🎾	网球
表情：🏀	篮球
表情：🏁	终点
表情：🏅	奖牌
表情：🏆	冠军
表情：🏆	奖杯
表情：🏇	赛马
表情：🏇	骑马
表情：🏍	摩托
表情：🏎	赛车
表情：🏏	板球
表情：🏐	排球
表情：🏒	冰球
表情：🏔	雪山
表情：🏔	高山
表情：🏕	野营
表情：🏕	露营
表情：🏖	度假
表情：🏙	城市
表情：🏙	都市
表情：🏚	危楼
表情：🏚	荒宅
表情：🏜	沙漠
表情：🏜	荒漠
表情：🏝	荒岛
表情：🏠	房子
表情：🏠	房屋
表情：🏡	别墅
表情：🏤	邮局
表情：🏥	医院
表情：🏦	银行
表情：🏨	宾馆
表情：🏨	旅店
表情：🏨	旅馆
表情：🏨	酒店
